country,continent,population,Cases,Recovered,Deaths,Tests,year,month,day_of_month,hour
169,2,112508994.0,4140383,4067381.0,66864.0,36102746.0,2024,6,30,16
174,3,19031335.0,3529735,3460149.0,68929.0,28758667.0,2024,6,30,16
58,3,5834950.0,3183756,3174942.0,8814.0,129333107.0,2024,6,30,16
191,2,5943546.0,3006155,3004131.0,2024.0,24756666.0,2024,6,30,16
95,2,7604299.0,2937609,2916005.0,14924.0,76127725.0,2024,6,30,16
206,3,10218971.0,2754129,2726492.0,27407.0,19500873.0,2024,6,30,16
152,5,4898203.0,2621111,2613791.0,5697.0,7768604.0,2024,6,30,16
188,3,8653016.0,2615054,2596608.0,18057.0,13463733.0,2024,6,30,16
101,2,42164965.0,2465545,2439497.0,25375.0,19544451.0,2024,6,30,16
96,3,9606259.0,2230232,2152155.0,49048.0,11394556.0,2024,6,30,16
18,2,167885689.0,2049377,235145.5,29493.0,15254399.0,2024,6,30,16
193,3,5460193.0,1877605,1856381.0,21224.0,7448789.0,2024,6,30,16
81,2,3968738.0,1861665,235145.5,17132.0,16920079.0,2024,6,30,16
102,3,5020199.0,1734582,1724921.0,9491.0,13083449.0,2024,6,30,16
162,2,229488994.0,1581936,1538689.0,30664.0,30589153.0,2024,6,30,16
75,3,5554960.0,1516117,1503989.0,11958.0,12108977.0,2024,6,30,16
159,3,5511370.0,1509732,1503094.0,6638.0,11002430.0,2024,6,30,16
122,3,2661708.0,1397806,1387478.0,9897.0,10540357.0,2024,6,30,16
194,3,2078034.0,1356546,1349424.0,7100.0,2847701.0,2024,6,30,16
32,3,6844597.0,1339851,1292944.0,38748.0,11671043.0,2024,6,30,16
51,3,4059286.0,1309728,1258432.0,18687.0,5660084.0,2024,6,30,16
89,4,18584039.0,1291293,1269891.0,20289.0,7593848.0,2024,6,30,16
144,0,37772756.0,1278992,235145.5,16303.0,13001033.0,2024,6,30,16
117,2,6684849.0,1243838,1087587.0,10952.0,4795578.0,2024,6,30,16
50,4,5182354.0,1238883,235145.5,9428.0,4659757.0,2024,6,30,16
26,6,11992656.0,1212131,1177145.0,22407.0,2710261.0,2024,6,30,16
218,0,12046656.0,1153361,235145.5,29423.0,5013383.0,2024,6,30,16
52,4,11305652.0,1115251,1106660.0,8530.0,14402674.0,2024,6,30,16
200,3,46719142.0,13914811,13762417.0,121760.0,471036328.0,2024,6,30,16
157,4,5797805.0,131889132,127665129.0,1695941.0,2226216.0,2024,6,30,16
12,2,5797805.0,221500265,205673091.0,1553662.0,2226216.0,2024,6,30,16
71,3,5797805.0,253406198,248754104.0,2101824.0,2226216.0,2024,6,30,16
198,6,5797805.0,70200879,66683585.0,1367332.0,2226216.0,2024,6,30,16
160,5,5797805.0,14895771,14752388.0,33015.0,2226216.0,2024,6,30,16
1,0,5797805.0,12860924,12090808.0,258892.0,2226216.0,2024,6,30,16
